Company,TickerSymbol,Date,TotalAssets,TotalCurrentLiabilities,TotalLiabilities,MarketCap
Salesforce,CRM,1/31/2015,10 665,4 390,6 690,36 726
Salesforce,CRM,4/30/2015,10 366,3 961,6 130,47 770
Salesforce,CRM,7/31/2015,10 794,4 113,6 258,48 378
Salesforce,CRM,10/31/2015,10 912,3 977,6 162,51 599
Salesforce,CRM,1/31/2016,12 763,5 617,7 760,45 663
Salesforce,CRM,4/30/2016,12 817,5 085,7 233,51 355
Salesforce,CRM,7/31/2016,14 381,5 376,8 249,56 033
Salesforce,CRM,10/31/2016,14 388,4 976,7 582,52 364
Salesforce,CRM,1/31/2017,17 585,7 295,10 085,55 960
Salesforce,CRM,4/30/2017,17 059,7 626,9 124,61 335
Salesforce,CRM,7/31/2017,17 419,7 526,8 950,65 258
Salesforce,CRM,10/31/2017,17 490,7 216,8 650,73 920
Salesforce,CRM,1/31/2018,21 984,10 067,11 608,83 138
Salesforce,CRM,4/30/2018,22 963,7 895,11 903,88 795
Salesforce,CRM,7/31/2018,25 823,8 469,12 295,103 781
Salesforce,CRM,10/31/2018,26 588,8 022,11 895,104 989
Salesforce,CRM,1/31/2019,30 737,11 255,15 132,117 017
Salesforce,CRM,4/30/2019,33 154,10 488,16 708,128 146
Salesforce,CRM,7/31/2019,33 336,10 195,16 170,120 510
Salesforce,CRM,10/31/2019,49 942,10 474,16 663,138 650
Salesforce,CRM,1/31/2020,55 126,14 845,21 241,162 803
Salesforce,CRM,4/30/2020,53 623,12 843,19 058,145 593
Salesforce,CRM,7/31/2020,57 780,12 963,19 340,176 924
Salesforce,CRM,10/31/2020,59 136,12 234,18 826,212 295
Salesforce,CRM,1/31/2021,66 301,17 728,24 808,207 290
Salesforce,CRM,4/30/2021,64 885,15 323,22 318,213 046
Salesforce,CRM,7/31/2021,88 658,17 393,33 138,236 608
Salesforce,CRM,10/31/2021,87 436,15 035,30 382,294 895
Salesforce,CRM,1/31/2022,95 209,21 788,37 078,230 071
Salesforce,CRM,4/30/2022,93 022,19 899,34 146,174 884
Salesforce,CRM,7/31/2022,94 148,20 080,34 050,183 836
Salesforce,CRM,10/31/2022,91 884,18 227,32 533,161 127
Salesforce,CRM,1/31/2023,98 849,25 891,40 490,164 779
Salesforce,CRM,4/30/2023,93 541,21 626,36 129,193 807
Salesforce,CRM,7/31/2023,92 447,20 805,34 365,219 385
Salesforce,CRM,10/31/2023,91 022,19 394,32 932,194 604
Salesforce,CRM,1/31/2024,99 823,26 631,40 177,272 938
Salesforce,CRM,4/30/2024,96 180,23 149,36 497,261 141
Salesforce,CRM,7/31/2024,92 180,21 001,34 547,247 930
Salesforce,CRM,10/31/2024,91 395,19 375,32 870,278 550
Salesforce,CRM,1/31/2025,102 928,27 980,41 755,328 715
Salesforce,CRM,4/30/2025,98 610,24 196,37 944,257 424
Salesforce,CRM,7/31/2025,97 573,22 532,36 245,246 705
Salesforce,CRM,10/31/2025,95 144,21 410,35 123,247 910
Salesforce,CRM,1/31/2026,112 305,37 118,53 163,197 217
Netflix,NFLX,6/30/2015,9 655,3 220,7 623,39 980
Netflix,NFLX,9/30/2015,9 916,3 341,7 749,44 132
Netflix,NFLX,12/31/2015,10 203,3 530,7 979,48 948
Netflix,NFLX,3/31/2016,11 262,3 934,8 945,43 784
Netflix,NFLX,6/30/2016,11 594,4 052,9 178,39 220
Netflix,NFLX,9/30/2016,12 347,4 411,9 818,42 292
Netflix,NFLX,12/31/2016,13 587,4 587,10 907,53 241
Netflix,NFLX,3/31/2017,14 359,4 911,11 385,63 705
Netflix,NFLX,6/30/2017,16 517,5 123,13 405,64 508
Netflix,NFLX,9/30/2017,16 952,5 311,13 624,78 476
Netflix,NFLX,12/31/2017,19 013,5 466,15 431,83 194
Netflix,NFLX,3/31/2018,20 153,6 006,16 132,128 376
Netflix,NFLX,6/30/2018,22 664,6 080,18 167,170 451
Netflix,NFLX,9/30/2018,23 366,6 298,18 357,163 152
Netflix,NFLX,12/31/2018,25 974,6 487,20 736,116 860
Netflix,NFLX,3/31/2019,27 219,6 858,21 516,155 885
Netflix,NFLX,6/30/2019,30 171,6 934,24 066,160 826
Netflix,NFLX,9/30/2019,30 942,7 258,24 080,117 285
Netflix,NFLX,12/31/2019,33 976,6 856,26 394,141 985
Netflix,NFLX,3/31/2020,35 060,7 854,26 651,165 138
Netflix,NFLX,6/30/2020,37 175,7 626,27 841,200 680
Netflix,NFLX,9/30/2020,38 623,7 940,28 289,220 911
Netflix,NFLX,12/31/2020,39 280,7 806,28 215,239 486
Netflix,NFLX,3/31/2021,40 123,7 962,27 239,231 296
Netflix,NFLX,6/30/2021,40 971,7 833,27 107,233 784
Netflix,NFLX,9/30/2021,42 740,8 049,27 425,270 351
Netflix,NFLX,12/31/2021,44 585,8 489,28 735,267 460
Netflix,NFLX,3/31/2022,45 331,7 740,27 787,166 421
Netflix,NFLX,6/30/2022,46 351,7 500,27 275,77 766
Netflix,NFLX,9/30/2022,47 562,7 766,27 034,104 776
Netflix,NFLX,12/31/2022,48 595,7 931,27 817,131 324
Netflix,NFLX,3/31/2023,49 490,8 316,27 662,153 579
Netflix,NFLX,6/30/2023,50 818,8 676,27 985,195 202
Netflix,NFLX,9/30/2023,49 502,8 339,27 394,165 268
Netflix,NFLX,12/31/2023,48 732,8 861,28 144,210 702
Netflix,NFLX,3/31/2024,48 828,9 289,27 462,261 738
Netflix,NFLX,6/30/2024,49 099,10 140,26 986,289 635
Netflix,NFLX,9/30/2024,52 282,10 707,29 561,303 183
Netflix,NFLX,12/31/2024,53 630,10 755,28 887,381 268
Netflix,NFLX,3/31/2025,52 088,9 719,28 060,396 962
Netflix,NFLX,6/30/2025,53 100,8 942,28 148,569 032
Netflix,NFLX,9/30/2025,54 935,9 732,28 981,508 021
Netflix,NFLX,12/31/2025,55 597,10 981,28 982,395 870
Netflix,NFLX,3/31/2026,61 016,12 132,29 890,405 060
Tesla,TSLA,6/30/2015,6 468,2 384,5 702,34 089
Tesla,TSLA,9/30/2015,7 548,2 554,6 187,32 516
Tesla,TSLA,12/31/2015,7 287,1 193,5 553,31 542
Tesla,TSLA,3/31/2016,9 192,3 188,8 179,30 761
Tesla,TSLA,6/30/2016,11 869,3 766,9 312,31 416
Tesla,TSLA,9/30/2016,12 592,4 082,9 901,30 564
Tesla,TSLA,12/31/2016,22 664,5 827,16 750,34 534
Tesla,TSLA,3/31/2017,25 054,6 245,18 885,45 679
Tesla,TSLA,6/30/2017,26 044,6 546,19 460,60 346
Tesla,TSLA,9/30/2017,28 107,6 469,21 929,57 311
Tesla,TSLA,12/31/2017,28 655,7 675,23 023,52 563
Tesla,TSLA,3/31/2018,27 271,8 650,21 551,45 171
Tesla,TSLA,6/30/2018,27 910,9 141,22 643,58 470
Tesla,TSLA,9/30/2018,29 263,9 775,23 409,45 425
Tesla,TSLA,12/31/2018,29 740,9 993,23 427,57 451
Tesla,TSLA,3/31/2019,28 913,9 243,22 875,48 614
Tesla,TSLA,6/30/2019,31 873,9 589,24 722,40 033
Tesla,TSLA,9/30/2019,32 795,10 146,25 313,43 410
Tesla,TSLA,12/31/2019,34 309,10 667,26 199,75 721
Tesla,TSLA,3/31/2020,37 250,11 986,26 518,97 140
Tesla,TSLA,6/30/2020,38 135,12 270,26 754,201 284
Tesla,TSLA,9/30/2020,45 691,13 302,28 143,406 692
Tesla,TSLA,12/31/2020,52 148,14 248,28 418,677 198
Tesla,TSLA,3/31/2021,52 972,14 877,28 507,643 207
Tesla,TSLA,6/30/2021,55 146,16 371,28 896,668 835
Tesla,TSLA,9/30/2021,57 834,18 051,29 340,778 830
Tesla,TSLA,12/31/2021,62 131,19 705,30 548,1 091 650
Tesla,TSLA,3/31/2022,66 038,21 455,30 632,1 116 390
Tesla,TSLA,6/30/2022,68 513,21 821,30 855,700 795
Tesla,TSLA,9/30/2022,74 426,24 611,33 302,837 660
Tesla,TSLA,12/31/2022,82 338,26 709,36 440,389 742
Tesla,TSLA,3/31/2023,86 833,27 436,37 598,657 441
Tesla,TSLA,6/30/2023,90 591,27 592,38 409,830 858
Tesla,TSLA,9/30/2023,93 941,26 640,39 446,795 449
Tesla,TSLA,12/31/2023,106 618,28 748,43 009,791 409
Tesla,TSLA,3/31/2024,109 226,29 453,44 046,560 594
Tesla,TSLA,6/30/2024,112 832,27 729,45 569,632 029
Tesla,TSLA,9/30/2024,119 852,30 577,49 142,839 047
Tesla,TSLA,12/31/2024,122 070,28 821,48 390,1 298 750
Tesla,TSLA,3/31/2025,125 111,29 753,49 693,834 495
Tesla,TSLA,6/30/2025,128 567,30 008,50 495,1 023 170
Tesla,TSLA,9/30/2025,133 735,31 290,53 019,1 478 250
Tesla,TSLA,12/31/2025,137 806,31 714,54 941,1 687 440
Tesla,TSLA,3/31/2026,143 724,34 138,58 922,1 395 920
Google,GOOGL,3/31/2015,133 400,14 336,24 952,372 962
Google,GOOGL,6/30/2015,138 807,17 362,27 024,356 866
Google,GOOGL,9/30/2015,144 281,18 457,28 040,418 392
Google,GOOGL,12/31/2015,147 461,19 310,27 130,521 560
Google,GOOGL,3/31/2016,149 747,17 684,26 178,511 660
Google,GOOGL,6/30/2016,154 292,17 341,26 413,475 250
Google,GOOGL,9/30/2016,159 948,14 323,25 845,535 596
Google,GOOGL,12/31/2016,167 497,16 756,28 461,533 540
Google,GOOGL,3/31/2017,172 756,15 256,27 807,574 173
Google,GOOGL,6/30/2017,178 621,18 685,30 335,629 686
Google,GOOGL,9/30/2017,189 536,20 693,32 436,666 443
Google,GOOGL,12/31/2017,197 295,24 183,44 793,727 021
Google,GOOGL,3/31/2018,206 935,25 394,46 110,717 044
Google,GOOGL,6/30/2018,211 610,29 903,49 610,776 397
Google,GOOGL,9/30/2018,221 538,31 301,51 698,830 555
Google,GOOGL,12/31/2018,232 792,34 620,55 164,720 318
Google,GOOGL,3/31/2019,245 349,34 910,61 877,815 257
Google,GOOGL,6/30/2019,257 101,37 000,64 909,750 268
Google,GOOGL,9/30/2019,263 044,39 224,68 075,842 214
Google,GOOGL,12/31/2019,275 909,45 221,74 467,920 304
Google,GOOGL,3/31/2020,273 403,40 189,69 744,795 323
Google,GOOGL,6/30/2020,278 492,43 658,71 170,962 966
Google,GOOGL,9/30/2020,299 243,48 200,86 323,995 983
Google,GOOGL,12/31/2020,319 616,56 834,97 072,1 182 850
Google,GOOGL,3/31/2021,327 095,55 453,97 082,1 388 230
Google,GOOGL,6/30/2021,335 387,55 741,97 822,1 673 370
