Company,TickerSymbol,Date,TotalRevenues,CostofSales,GrossProfit,SellingGeneral&AdministrativeExpenses,Research&DevelopmentExpenses,OperatingProfit,ConsolidatedNetIncome
Meta,META,6/30/2015,4 042,668,3 374,931,1 170,1 273,719
Meta,META,9/30/2015,4 501,720,3 781,1 051,1 271,1 459,896
Meta,META,12/31/2015,5 841,824,5 017,1 143,1 314,2 560,1 561
Meta,META,3/31/2016,5 382,838,4 544,1 191,1 343,2 010,1 738
Meta,META,6/30/2016,6 436,917,5 519,1 314,1 471,2 734,2 283
Meta,META,9/30/2016,7 011,987,6 024,1 365,1 542,3 117,2 627
Meta,META,12/31/2016,8 809,1 047,7 762,1 632,1 563,4 567,3 569
Meta,META,3/31/2017,8 032,1 159,6 873,1 712,1 834,3 327,3 064
Meta,META,6/30/2017,9 321,1 237,8 084,1 764,1 919,4 401,3 894
Meta,META,9/30/2017,10 328,1 448,8 880,1 706,2 052,5 122,4 707
Meta,META,12/31/2017,12 972,1 611,11 361,2 060,1 949,7 352,4 269
Meta,META,3/31/2018,11 966,1 927,10 039,2 352,2 238,5 449,4 988
Meta,META,6/30/2018,13 231,2 214,11 017,2 631,2 523,5 863,5 106
Meta,META,9/30/2018,13 727,2 418,11 309,2 871,2 657,5 781,5 137
Meta,META,12/31/2018,16 914,2 796,14 118,3 443,2 855,7 820,6 882
Meta,META,3/31/2019,15 077,2 816,12 261,6 084,2 860,3 317,2 429
Meta,META,6/30/2019,16 886,3 307,13 579,5 638,3 315,4 626,2 616
Meta,META,9/30/2019,17 652,3 155,14 497,3 764,3 548,7 185,6 091
Meta,META,12/31/2019,21 082,3 491,17 591,4 855,3 878,8 858,7 349
Meta,META,3/31/2020,17 737,3 459,14 278,4 370,4 015,5 893,4 902
Meta,META,6/30/2020,18 687,3 829,14 858,4 433,4 462,5 963,5 178
Meta,META,9/30/2020,21 470,4 194,17 276,4 473,4 763,8 040,7 846
Meta,META,12/31/2020,28 072,5 210,22 862,4 880,5 207,12 775,11 219
Meta,META,3/31/2021,26 171,5 131,21 040,4 465,5 197,11 378,9 497
Meta,META,6/30/2021,29 077,5 399,23 678,5 215,6 096,12 367,10 394
Meta,META,9/30/2021,29 010,5 771,23 239,6 500,6 316,10 423,9 194
Meta,META,12/31/2021,33 671,6 348,27 323,7 692,7 046,12 585,10 285
Meta,META,3/31/2022,27 908,6 005,21 903,5 672,7 707,8 524,7 465
Meta,META,6/30/2022,28 822,5 192,23 630,6 582,8 690,8 358,6 687
Meta,META,9/30/2022,27 714,5 716,21 998,7 164,9 170,5 664,4 395
Meta,META,12/31/2022,32 165,8 336,23 829,7 659,9 771,6 399,4 653
Meta,META,3/31/2023,28 645,6 108,22 537,5 929,9 381,7 227,5 709
Meta,META,6/30/2023,31 999,5 945,26 054,7 318,9 344,9 392,7 788
Meta,META,9/30/2023,34 146,6 210,27 936,4 947,9 241,13 748,11 583
Meta,META,12/31/2023,40 111,7 695,32 416,5 515,10 517,16 384,14 017
Meta,META,3/31/2024,36 455,6 640,29 815,6 019,9 978,13 818,12 369
Meta,META,6/30/2024,39 071,7 308,31 763,6 379,10 537,14 847,13 465
Meta,META,9/30/2024,40 589,7 375,33 214,4 687,11 177,17 350,15 688
Meta,META,12/31/2024,48 385,8 839,39 546,4 002,12 180,23 364,20 838
Meta,META,3/31/2025,42 314,7 572,34 742,5 037,12 150,17 555,16 644
Meta,META,6/30/2025,47 516,8 491,39 025,5 642,12 942,20 441,18 337
Meta,META,9/30/2025,51 242,9 206,42 036,6 357,15 144,20 535,2 709
Meta,META,12/31/2025,59 893,10 906,48 987,7 107,17 135,24 745,22 768
Meta,META,3/31/2026,56 311,10 218,46 093,5 522,17 699,22 872,26 773
Google,GOOGL,6/30/2015,17 727,6 583,11 144,3 530,2 789,4 825,3 931
Google,GOOGL,9/30/2015,18 675,7 037,11 638,3 700,3 230,4 708,3 979
Google,GOOGL,12/31/2015,21 329,8 188,13 141,4 251,3 510,5 380,4 923
Google,GOOGL,3/31/2016,20 257,7 648,12 609,3 900,3 367,5 342,4 207
Google,GOOGL,6/30/2016,21 500,8 130,13 370,4 039,3 363,5 968,4 877
Google,GOOGL,9/30/2016,22 451,8 699,13 752,4 389,3 596,5 767,5 061
Google,GOOGL,12/31/2016,26 064,10 661,15 403,5 142,3 622,6 639,5 333
Google,GOOGL,3/31/2017,24 750,9 795,14 955,4 445,3 942,6 568,5 426
Google,GOOGL,6/30/2017,26 010,10 373,15 637,4 597,4 172,4 132,3 524
Google,GOOGL,9/30/2017,27 772,11 148,16 624,4 637,4 205,7 782,6 732
Google,GOOGL,12/31/2017,32 323,14 267,18 056,6 054,4 306,7 696,-3 020
Google,GOOGL,3/31/2018,31 146,13 467,17 679,5 007,5 039,7 633,9 401
Google,GOOGL,6/30/2018,32 657,13 883,18 774,5 544,5 114,3 045,3 195
Google,GOOGL,9/30/2018,33 740,14 281,19 459,5 602,5 232,8 625,9 192
Google,GOOGL,12/31/2018,39 276,17 918,21 358,7 103,6 034,8 221,8 948
Google,GOOGL,3/31/2019,36 339,16 012,20 327,5 993,6 029,6 608,6 657
Google,GOOGL,6/30/2019,38 944,17 296,21 648,6 255,6 213,9 180,9 947
Google,GOOGL,9/30/2019,40 499,17 568,22 931,7 200,6 554,9 177,7 068
Google,GOOGL,12/31/2019,46 075,21 020,25 055,8 567,7 222,9 266,10 671
Google,GOOGL,3/31/2020,41 159,18 982,22 177,7 380,6 820,7 977,6 836
Google,GOOGL,6/30/2020,38 297,18 553,19 744,6 486,6 875,6 383,6 959
Google,GOOGL,9/30/2020,46 173,21 117,25 056,6 987,6 856,11 213,11 247
Google,GOOGL,12/31/2020,56 898,26 080,30 818,8 145,7 022,15 651,15 227
Google,GOOGL,3/31/2021,55 314,24 103,31 211,7 289,7 485,16 437,17 930
Google,GOOGL,6/30/2021,61 880,26 227,35 653,8 617,7 675,19 361,18 525
Google,GOOGL,9/30/2021,65 118,27 621,37 497,8 772,7 694,21 031,18 936
Google,GOOGL,12/31/2021,75 325,32 988,42 337,11 744,8 708,21 885,20 642
Google,GOOGL,3/31/2022,68 011,29 599,38 412,9 199,9 119,20 094,16 436
Google,GOOGL,6/30/2022,69 685,30 104,39 581,10 287,9 841,19 453,16 002
Google,GOOGL,9/30/2022,69 092,31 158,37 934,10 526,10 273,17 135,13 910
Google,GOOGL,12/31/2022,76 048,35 342,40 706,12 279,10 267,18 160,13 624
Google,GOOGL,3/31/2023,69 787,30 612,39 175,10 292,11 468,17 415,15 051
Google,GOOGL,6/30/2023,74 604,31 916,42 688,10 262,10 588,21 838,18 368
Google,GOOGL,9/30/2023,76 693,33 229,43 464,10 863,11 258,21 343,19 689
Google,GOOGL,12/31/2023,86 310,37 575,48 735,12 925,12 113,23 697,20 687
Google,GOOGL,3/31/2024,80 539,33 712,46 827,9 452,11 903,25 472,23 662
Google,GOOGL,6/30/2024,84 742,35 507,49 235,9 950,11 860,27 425,23 619
Google,GOOGL,9/30/2024,88 268,36 474,51 794,10 826,12 447,28 521,26 301
Google,GOOGL,12/31/2024,96 469,40 613,55 856,11 768,13 116,30 972,26 536
Google,GOOGL,3/31/2025,90 234,36 361,53 873,9 711,13 556,30 606,34 540
Google,GOOGL,6/30/2025,96 428,39 039,57 389,12 310,13 808,31 271,28 196
Google,GOOGL,9/30/2025,102 346,41 369,60 977,14 598,15 151,31 228,34 979
Google,GOOGL,12/31/2025,113 828,45 766,68 062,13 556,18 572,35 934,34 455
Google,GOOGL,3/31/2026,109 896,41 271,68 625,11 897,17 032,39 696,62 578
Netflix,NFLX,6/30/2015,1 645,1 122,523,293,155,75,55
Netflix,NFLX,9/30/2015,1 738,1 174,564,319,172,74,29
Netflix,NFLX,12/31/2015,1 823,1 249,574,333,181,60,43
Netflix,NFLX,3/31/2016,1 958,1 370,588,335,204,49,28
Netflix,NFLX,6/30/2016,2 105,1 473,632,354,207,70,41
Netflix,NFLX,9/30/2016,2 290,1 533,757,435,216,106,52
Netflix,NFLX,12/31/2016,2 478,1 654,823,444,225,154,67
Netflix,NFLX,3/31/2017,2 637,1 657,980,466,257,257,178
Netflix,NFLX,6/30/2017,2 785,1 902,883,488,267,128,66
Netflix,NFLX,9/30/2017,2 985,1 993,992,528,255,209,130
Netflix,NFLX,12/31/2017,3 286,2 107,1 178,660,273,245,186
Netflix,NFLX,3/31/2018,3 701,2 301,1 400,671,282,447,290
Netflix,NFLX,6/30/2018,3 907,2 402,1 505,744,299,462,384
Netflix,NFLX,9/30/2018,3 999,2 531,1 468,679,309,481,403
Netflix,NFLX,12/31/2018,4 187,2 733,1 453,906,332,216,134
Netflix,NFLX,3/31/2019,4 521,2 871,1 650,819,373,459,344
Netflix,NFLX,6/30/2019,4 923,3 006,1 917,828,383,706,271
Netflix,NFLX,9/30/2019,5 245,3 098,2 147,787,380,980,665
Netflix,NFLX,12/31/2019,5 467,3 466,2 001,1 134,409,459,587
Netflix,NFLX,3/31/2020,5 768,3 600,2 168,756,454,958,709
Netflix,NFLX,6/30/2020,6 148,3 644,2 505,712,435,1 358,720
Netflix,NFLX,9/30/2020,6 436,3 868,2 568,799,454,1 315,790
Netflix,NFLX,12/31/2020,6 644,4 165,2 479,1 038,487,954,542
Netflix,NFLX,3/31/2021,7 163,3 869,3 295,810,525,1 960,1 707
Netflix,NFLX,6/30/2021,7 342,4 018,3 324,939,537,1 848,1 353
Netflix,NFLX,9/30/2021,7 483,4 207,3 277,958,564,1 755,1 449
Netflix,NFLX,12/31/2021,7 709,5 240,2 470,1 191,647,632,607
Netflix,NFLX,3/31/2022,7 868,4 285,3 583,954,658,1 972,1 597
Netflix,NFLX,6/30/2022,7 970,4 691,3 279,984,717,1 578,1 441
Netflix,NFLX,9/30/2022,7 926,4 789,3 137,941,663,1 533,1 398
Netflix,NFLX,12/31/2022,7 852,5 404,2 448,1 224,674,550,55
Netflix,NFLX,3/31/2023,8 162,4 804,3 358,956,687,1 714,1 305
Netflix,NFLX,6/30/2023,8 187,4 673,3 514,1 029,658,1 827,1 488
Netflix,NFLX,9/30/2023,8 542,4 931,3 611,1 037,657,1 916,1 677
Netflix,NFLX,12/31/2023,8 833,5 307,3 525,1 356,673,1 496,938
Netflix,NFLX,3/31/2024,9 370,4 977,4 393,1 058,702,2 633,2 332
Netflix,NFLX,6/30/2024,9 559,5 174,4 385,1 071,711,2 603,2 147
Netflix,NFLX,9/30/2024,9 825,5 120,4 705,1 060,735,2 909,2 364
Netflix,NFLX,12/31/2024,10 247,5 767,4 479,1 430,777,2 273,1 869
Netflix,NFLX,3/31/2025,10 543,5 263,5 280,1 110,823,3 347,2 890
Netflix,NFLX,6/30/2025,11 079,5 325,5 754,1 154,825,3 775,3 125
Netflix,NFLX,9/30/2025,11 510,6 164,5 346,1 244,854,3 248,2 547
Netflix,NFLX,12/31/2025,12 051,6 523,5 528,1 681,890,2 957,2 419
Netflix,NFLX,3/31/2026,12 250,5 888,6 362,1 445,960,3 957,5 283
Nvidia,NVDA,1/25/2015,1 251,552,699,120,348,231,193
Nvidia,NVDA,4/26/2015,1 151,498,653,138,339,176,134
Nvidia,NVDA,7/26/2015,1 153,519,634,149,320,76,26
Nvidia,NVDA,10/25/2015,1 305,571,734,152,329,245,246
Nvidia,NVDA,1/31/2016,1 401,610,791,161,344,252,208
Nvidia,NVDA,5/1/2016,1 305,554,751,159,346,245,208
Nvidia,NVDA,7/31/2016,1 428,602,826,157,350,317,261
Nvidia,NVDA,10/30/2016,2 004,821,1 183,171,373,639,542
Nvidia,NVDA,1/29/2017,2 173,870,1 303,176,394,733,654
Nvidia,NVDA,4/30/2017,1 937,787,1 150,185,411,554,507
Nvidia,NVDA,7/30/2017,2 230,928,1 302,198,416,688,583
Nvidia,NVDA,10/29/2017,2 636,1 067,1 569,212,462,895,838
Nvidia,NVDA,1/28/2018,2 911,1 110,1 801,221,507,1 073,1 119
Nvidia,NVDA,4/29/2018,3 207,1 139,2 068,231,542,1 295,1 244
Nvidia,NVDA,7/29/2018,3 123,1 148,1 975,237,581,1 157,1 101
Nvidia,NVDA,10/28/2018,3 181,1 260,1 921,258,605,1 058,1 230
Nvidia,NVDA,1/27/2019,2 205,998,1 207,266,647,294,566
Nvidia,NVDA,4/28/2019,2 220,924,1 296,264,674,358,394
Nvidia,NVDA,7/28/2019,2 579,1 038,1 541,266,704,571,552
Nvidia,NVDA,10/27/2019,3 014,1 098,1 916,277,712,927,899
Nvidia,NVDA,1/26/2020,3 105,1 090,2 015,287,738,990,951
Nvidia,NVDA,4/26/2020,3 080,1 076,2 004,293,735,976,917
Nvidia,NVDA,7/26/2020,3 866,1 591,2 275,627,997,651,622
Nvidia,NVDA,10/25/2020,4 726,1 766,2 960,515,1 047,1 398,1 336
Nvidia,NVDA,1/31/2021,5 003,1 847,3 156,503,1 146,1 507,1 457
Nvidia,NVDA,5/2/2021,5 661,2 032,3 629,520,1 153,1 956,1 912
Nvidia,NVDA,8/1/2021,6 507,2 292,4 215,526,1 245,2 444,2 374
Nvidia,NVDA,10/31/2021,7 103,2 472,4 631,557,1 403,2 671,2 464
Nvidia,NVDA,1/30/2022,7 643,2 644,4 999,563,1 466,2 970,3 003
Nvidia,NVDA,5/1/2022,8 288,2 857,5 431,592,1 618,1 868,1 618
Nvidia,NVDA,7/31/2022,6 704,3 789,2 915,592,1 824,499,656
Nvidia,NVDA,10/30/2022,5 931,2 754,3 177,631,1 945,601,680
Nvidia,NVDA,1/29/2023,6 051,2 218,3 833,625,1 952,1 256,1 414
Nvidia,NVDA,4/30/2023,7 192,2 544,4 648,633,1 875,2 140,2 043
Nvidia,NVDA,7/30/2023,13 507,4 045,9 462,622,2 040,6 800,6 188
Nvidia,NVDA,10/29/2023,18 120,4 720,13 400,689,2 294,10 417,9 243
Nvidia,NVDA,1/28/2024,22 103,5 312,16 791,712,2 465,13 614,12 285
Nvidia,NVDA,4/28/2024,26 044,5 638,20 406,777,2 720,16 909,14 881
Nvidia,NVDA,7/28/2024,30 040,7 466,22 574,842,3 090,18 642,16 599
Nvidia,NVDA,10/27/2024,35 082,8 926,26 156,897,3 390,21 869,19 309
Nvidia,NVDA,1/26/2025,39 331,10 608,28 723,975,3 714,24 034,22 091
Nvidia,NVDA,4/27/2025,44 062,17 394,26 668,1 041,3 989,21 638,18 775
Nvidia,NVDA,7/27/2025,46 743,12 890,33 853,1 122,4 291,28 440,26 422
Nvidia,NVDA,10/26/2025,57 006,15 157,41 849,1 134,4 705,36 010,31 910
Nvidia,NVDA,1/25/2026,68 127,17 034,51 093,1 282,5 512,44 299,42 960
Apple,AAPL,6/27/2015,49 605,29 924,19 681,3 564,2 034,14 083,10 677
Apple,AAPL,9/26/2015,51 501,30 953,20 548,3 705,2 220,14 623,11 124
Apple,AAPL,12/26/2015,75 872,45 449,30 423,3 848,2 404,24 171,18 361
Apple,AAPL,3/26/2016,50 557,30 636,19 921,3 423,2 511,13 987,10 516
Apple,AAPL,6/25/2016,42 358,26 252,16 106,3 441,2 560,10 105,7 796
Apple,AAPL,9/24/2016,46 852,29 039,17 813,3 482,2 570,11 761,9 014
Apple,AAPL,12/31/2016,78 351,48 175,30 176,3 946,2 871,23 359,17 891
Apple,AAPL,4/1/2017,52 896,32 305,20 591,3 718,2 776,14 097,11 029
Apple,AAPL,7/1/2017,45 408,27 920,17 488,3 783,2 937,10 768,8 717
Apple,AAPL,9/30/2017,52 579,32 648,19 931,3 814,2 997,13 120,10 714
Apple,AAPL,12/30/2017,88 293,54 381,33 912,4 231,3 407,26 274,20 065
Apple,AAPL,3/31/2018,61 137,37 715,23 422,4 150,3 378,15 894,13 822
Apple,AAPL,6/30/2018,53 265,32 844,20 421,4 108,3 701,12 612,11 519
Apple,AAPL,9/29/2018,62 900,38 816,24 084,4 216,3 750,16 118,14 125
Apple,AAPL,12/29/2018,84 310,52 279,32 031,4 783,3 902,23 346,19 965
Apple,AAPL,3/30/2019,58 015,36 194,21 821,4 458,3 948,13 415,11 561
Apple,AAPL,6/29/2019,53 809,33 582,20 227,4 426,4 257,11 544,10 044
Apple,AAPL,9/28/2019,64 040,39 727,24 313,4 578,4 110,15 625,13 686
Apple,AAPL,12/28/2019,91 819,56 602,35 217,5 197,4 451,25 569,22 236
Apple,AAPL,3/28/2020,58 313,35 943,22 370,4 952,4 565,12 853,11 249
Apple,AAPL,6/27/2020,59 685,37 005,22 680,4 831,4 758,13 091,11 253
Apple,AAPL,9/26/2020,64 698,40 009,24 689,4 936,4 978,14 775,12 673
Apple,AAPL,12/26/2020,111 439,67 111,44 328,5 631,5 163,33 534,28 755
Apple,AAPL,3/27/2021,89 584,51 505,38 079,5 314,5 262,27 503,23 630
Apple,AAPL,6/26/2021,81 434,46 179,35 255,5 412,5 717,24 126,21 744
Apple,AAPL,9/25/2021,83 360,48 186,35 174,5 616,5 772,23 786,20 551
Apple,AAPL,12/25/2021,123 945,69 702,54 243,6 449,6 306,41 488,34 630
Apple,AAPL,3/26/2022,97 278,54 719,42 559,6 193,6 387,29 979,25 010
Apple,AAPL,6/25/2022,82 959,47 074,35 885,6 012,6 797,23 076,19 442
Apple,AAPL,9/24/2022,90 146,52 051,38 095,6 440,6 761,24 894,20 721
Apple,AAPL,12/31/2022,117 154,66 822,50 332,6 607,7 709,36 016,29 998
